año,pob_1,pob_2,pob_3,pob_9,pob_4,pob_7,pob_8,pob_5,pob_6,pob_10,pob_total,pob_11,pob_12,pob_13,pob_14,pob_16,pob_17,pob_15,pob_18,pob_19,pob_20,pob_21,pob_22,pob_23,pob_24,pob_25,pob_26,pob_27,pob_28,pob_29,pob_30,pob_31,pob_32
2008m12,781620.5333,2130490.05,425899.3333,6651149.1,564450.25,2993880.55,2276216.317,1864788.533,447981.1333,1083464.017,76338834.53,3626253.633,2180146.7,1791780.467,4988262.567,2912745.067,1221358.667,10333449,736126.15,3245379.683,2521109.283,3827639.2,1220910.167,871248.85,1733851.767,1921008.233,1818364.583,1497879.917,2219786.9,785352.4167,5295011.883,1374369.55,996860.9
2009m1,783551.8,2137049.2,427693,6656100.4,565609,3001669.2,2279624.6,1868516.8,449298.2,1085412.4,76499180.8,3635621.2,2185102.8,1796601.2,4998980.6,2919258.6,1224506,10356676,738135.6,3251978.4,2526559.8,3835062.8,1224681,875372.4,1737090.4,1924731.6,1822674,1501435,2223205.6,786976,5304292.2,1376961.2,998754.6
2009m2,785483.0667,2143608.35,429486.6667,6661051.7,566767.75,3009457.85,2283032.883,1872245.067,450615.2667,1087360.783,76659527.07,3644988.767,2190058.9,1801421.933,5009698.633,2925772.133,1227653.333,10379903,740145.05,3258577.117,2532010.317,3842486.4,1228451.833,879495.95,1740329.033,1928454.967,1826983.417,1504990.083,2226624.3,788599.5833,5313572.517,1379552.85,1000648.3
2009m3,787414.3333,2150167.5,431280.3333,6666003,567926.5,3017246.5,2286441.167,1875973.333,451932.3333,1089309.167,76819873.33,3654356.333,2195015,1806242.667,5020416.667,2932285.667,1230800.667,10403130,742154.5,3265175.833,2537460.833,3849910,1232222.667,883619.5,1743567.667,1932178.333,1831292.833,1508545.167,2230043,790223.1667,5322852.833,1382144.5,1002542
2009m4,789345.6,2156726.65,433074,6670954.3,569085.25,3025035.15,2289849.45,1879701.6,453249.4,1091257.55,76980219.6,3663723.9,2199971.1,1811063.4,5031134.7,2938799.2,1233948,10426357,744163.95,3271774.55,2542911.35,3857333.6,1235993.5,887743.05,1746806.3,1935901.7,1835602.25,1512100.25,2233461.7,791846.75,5332133.15,1384736.15,1004435.7
2009m5,791276.8667,2163285.8,434867.6667,6675905.6,570244,3032823.8,2293257.733,1883429.867,454566.4667,1093205.933,77140565.87,3673091.467,2204927.2,1815884.133,5041852.733,2945312.733,1237095.333,10449584,746173.4,3278373.267,2548361.867,3864757.2,1239764.333,891866.6,1750044.933,1939625.067,1839911.667,1515655.333,2236880.4,793470.3333,5341413.467,1387327.8,1006329.4
2009m6,793208.1333,2169844.95,436661.3333,6680856.9,571402.75,3040612.45,2296666.017,1887158.133,455883.5333,1095154.317,77300912.13,3682459.033,2209883.3,1820704.867,5052570.767,2951826.267,1240242.667,10472811,748182.85,3284971.983,2553812.383,3872180.8,1243535.167,895990.15,1753283.567,1943348.433,1844221.083,1519210.417,2240299.1,795093.9167,5350693.783,1389919.45,1008223.1
2009m7,795139.4,2176404.1,438455,6685808.2,572561.5,3048401.1,2300074.3,1890886.4,457200.6,1097102.7,77461258.4,3691826.6,2214839.4,1825525.6,5063288.8,2958339.8,1243390,10496038,750192.3,3291570.7,2559262.9,3879604.4,1247306,900113.7,1756522.2,1947071.8,1848530.5,1522765.5,2243717.8,796717.5,5359974.1,1392511.1,1010116.8
2009m8,797070.6667,2182963.25,440248.6667,6690759.5,573720.25,3056189.75,2303482.583,1894614.667,458517.6667,1099051.083,77621604.67,3701194.167,2219795.5,1830346.333,5074006.833,2964853.333,1246537.333,10519265,752201.75,3298169.417,2564713.417,3887028,1251076.833,904237.25,1759760.833,1950795.167,1852839.917,1526320.583,2247136.5,798341.0833,5369254.417,1395102.75,1012010.5
2009m9,799001.9333,2189522.4,442042.3333,6695710.8,574879,3063978.4,2306890.867,1898342.933,459834.7333,1100999.467,77781950.93,3710561.733,2224751.6,1835167.067,5084724.867,2971366.867,1249684.667,10542492,754211.2,3304768.133,2570163.933,3894451.6,1254847.667,908360.8,1762999.467,1954518.533,1857149.333,1529875.667,2250555.2,799964.6667,5378534.733,1397694.4,1013904.2
2009m10,800933.2,2196081.55,443836,6700662.1,576037.75,3071767.05,2310299.15,1902071.2,461151.8,1102947.85,77942297.2,3719929.3,2229707.7,1839987.8,5095442.9,2977880.4,1252832,10565719,756220.65,3311366.85,2575614.45,3901875.2,1258618.5,912484.35,1766238.1,1958241.9,1861458.75,1533430.75,2253973.9,801588.25,5387815.05,1400286.05,1015797.9
